PARK_NAME,LATITUDE,LONGITUDE,ADDRESS,URL
Maple Grove Park,49.223731700708,-123.160215447357,6875 Yew St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=96
Margaret Pigott Park,49.2720445830063,-123.167692254748,2743 Point Grey Road,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=113
Marina Square,49.2924712884492,-123.131073351264,1675 Bayshore Drive,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Marine Drive Golf Club (Private),49.2174839,-123.159249,7425 Yew Street,
Marpole Park,49.2054370668331,-123.138529419389,1410 W 72nd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=124
May & Lorne Brown Park,49.2751730142289,-123.132040403894,801 Beach Av,http://www.city.vancouver.bc.ca/parks/parks/index.htm
McBride Park,49.2680824686344,-123.178670451512,3350 W 4th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=114
McCleery Golf Course,49.2187507983739,-123.170643413725,7188 Macdonald St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
McCleery Park,49.2268037573308,-123.164101209053,6501 Marine Crescent,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=97
McGill Park,49.288492,-123.05713,2305 Mcgill St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=53
McSpadden Park,49.2662777758283,-123.066629277024,2125 Victoria Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=54
Melbourne Park,49.2364157475643,-123.028963734972,3530 Vanness Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=156
Memorial South Park,49.2303034781757,-123.08569062602,5950 Prince Albert St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Memorial West Park,49.2428154263277,-123.188251960704,4701 Dunbar St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Moberly Park,49.2155885589819,-123.08655973388,7646 Prince Albert St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Montgomery Park,49.2308252028941,-123.130457900154,1040 W 43rd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=146
Morton Park,49.287663441739,-123.141975567736,1800 Morton Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=202
Mosaic Creek Park,49.2733141216327,-123.074131638534,1475 Charles St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=55
Mount Pleasant Park,49.2571285790462,-123.106253580047,3161 Ontario St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Musqueam Park,49.23222027435,-123.195361237002,4000 Sw Marine Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=40
Nanaimo Park,49.2277249563347,-123.057630428196,2390 E 46th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=196
Nat Bailey Stadium,49.2429331858326,-123.106820716127,4601 Ontario St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Nelson Park,49.2825736114152,-123.129617962639,1030 Bute St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=203
New Brighton Park,49.2896409,-123.03764184,500 N Windermere St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=75
Norquay Park,49.2372494449842,-123.051135284398,5050 Wales St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=157
Oak Meadows Park,49.2384352911029,-123.125806341035,899 W 37th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=228
Oak Park,49.2162375769549,-123.128701584314,900 W 59th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=126
Oppenheimer Park,49.2826400692788,-123.094346882948,400 Powell St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=180
Oxford Park,49.2854904186746,-123.062202959939,2050 Wall St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=56
Pacific Spirit Park,49.251266,-123.195126,4000 W King Edward Avenue,http://vancouver.ca/parks/
Pandora Park,49.2825400375048,-123.05818062003,2325 Franklin St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=57
Park Site at Southe East False Creek,49.270869,-123.110533,215 W 1st Avenue,http://vancouver.ca/parks/
